managing_agency,fms_id,year-month_reported,total_budget,spend_to_date,spend_to_date_percent,budget_variance,budget_variance_percent
42,ACECUN215,202205,141000,,,,
42,ACECUN215,202305,141000,0,0,0,0
42,ACECUN215,202309,141849,0,0,849,0.006
42,ACECUN216,202205,1102000,,,,
42,ACECUN216,202305,1102000,0,0,0,0
42,ACECUN216,202309,1102154,0,0,154,0.0001
42,ACECUN217,202205,956000,,,,
42,ACECUN217,202305,956000,0,0,0,0
42,ACECUN217,202309,955617,0,0,-383,-0.0004
42,ACECUN218,202205,1615000,,,,
42,ACECUN218,202305,1615000,0,0,0,0
42,ACECUN218,202309,1615291,0,0,291,0.0001
42,ACECUN221,202205,9323000,,,,
42,ACECUN221,202305,9323000,0,0,0,0
42,ACECUN221,202309,9322739,0,0,-261,0
42,ACECUN222,202205,29841000,,,,
42,ACECUN222,202305,29841000,0,0,0,0
42,ACECUN222,202309,29840468,0,0,-532,0
42,ACECUN223,202205,1705000,,,,
42,ACECUN223,202305,1705000,0,0,0,0
42,ACECUN223,202309,1704969,0,0,-31,0
42,ACECUN231,202302,12300000,,,,
42,ACECUN231,202305,12300000,0,0,0,0
42,ACECUN231,202309,12299396,0,0,-604,0
42,ACECUN232,202302,8000000,,,,
42,ACECUN232,202305,8000000,0,0,0,0
42,ACECUN232,202309,7999640,0,0,-360,0
42,ACECUN233,202302,18427000,,,,
42,ACECUN233,202305,18427000,0,0,0,0
42,ACECUN233,202309,18426860,0,0,-140,0
42,ACECUN234,202302,14000000,,,,
42,ACECUN234,202305,14000000,0,0,0,0
42,ACECUN234,202309,13999864,0,0,-136,0
42,ACECUN801,201804,4674000,,,,
42,ACECUN801,202305,4674284,65833,0.014,284,0
42,ACECUN801,202309,8501284,65833,0.0077,3827000,0.8187
42,ACECUN901,201910,5108000,,,,
42,ACECUN901,202305,5107698,59001,0.0115,-302,0
42,ACECUN901,202309,5107698,59001,0.0115,0,0
42,BA001-021,202011,292000,,,,
42,BA001-021,202305,292000,0,0,0,0
42,BA001-021,202309,292000,0,0,0,0
42,BA001-022,202110,1000000,,,,
42,BA001-022,202305,1000000,0,0,0,0
42,BA001-022,202309,1000000,0,0,0,0
42,BA001-023,202210,425000,,,,
42,BA001-023,202305,425000,0,0,0,0
42,BA001-023,202309,425000,0,0,0,0
42,BA001-024,202305,235000,0,0,,
42,BA001-024,202305,235000,,,0,0
42,BA001-024,202309,235000,0,0,0,0
42,BA002-024,202309,450000,0,0,,
